Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Beta","Alpha","Net Profit Margin","PB Ratio"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","57077.213898315","1420.55","15.002947612846965","1.11511208929277","23.2932793061902","32.891767720694915","3.621740252348567"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","56652.272670945","106.55","36.605115252022735","1.5123588690084","-10.9299772789817","1.7389207648707428","0.6839932285689913"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","56513.7640535","3051.85","46.44457926816234","0.948977422563022","32.4153460432266","12.346706225913891","8.6588440506013"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","55575.825002649995","2721.75","19.04749378892983","0.919622565119958","-13.6908440797193","9.257675756232567","3.5718006429884808"
IDBI Bank Ltd,IDBI,"Public Banks","55428.633212125","50.2","36.61144752678388","1.42468109908638","5.5464663055725","6.103824319262949","1.4686575299799787"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","52764.7985724","675.7","34.69405374090977","1.56743973562007","15.2199185463427","15.869103840029709","5.496447693951956"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","52228.435126575","319.4","23.681424794181282","2.16566899165281","-26.0246062759675","15.071545867738365","3.0002237526596707"
Bharat Electronics Ltd,BEL,"Electronic Equipments","50668.950249685","204.8","24.14025662938673","0.688251123125383","25.1875511438311","14.746322974079035","4.57525215423127"
JSW Energy Ltd,JSWENERGY,"Power Generation","49468.75685336","297.75","62.18730433619951","0.946724052208152","48.1043092030764","11.084048601047824","3.412043142590707"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","49221.773105625","2300.3","37.12721239562592","1.14422880462616","7.79789852318261","60.214194228201315","10.305677990700726"
Bosch Ltd,BOSCHLTD,"Auto Parts","48916.824090199996","16432.3","101.48718690912847","0.844689882343121","-19.2401225332495","4.728689015118077","4.984950839221842"
ABB India Ltd,ABB,"Heavy Electrical Equipments","48861.8331075","2335.4","222.8894859387831","1.04018889157403","17.8545309439102","3.6618386699651366","13.548720075948735"
L&T Technology Services Ltd,LTTS,"Software Services","48450.324313214995","4543.85","73.04436049029856","0.894009281420187","26.6342476731992","11.837455830388686","13.909716442700677"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","48179.36049696","15119","73.91853280498317","0.31491753585204","10.0271971780294","18.03753680621666","67.45258865269436"
Canara Bank Ltd,CANBK,"Public Banks","48056.310375479996","261","16.62508704986867","1.55196538199124","-10.2842693264733","3.0862670464100184","0.7603489262526748"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","47371.0051875","1400.2","14.623117799725863","1.17586646311957","23.1797406925847","14.011747608090118","3.0728108511641663"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","47357.73169227","41691.35","139.0543256665884","0.697216013935746","11.1924042774037","11.939644443509566","53.51881802308787"
Punjab National Bank,PNB,"Public Banks","46906.92627708","41.5","18.308857320150885","1.63257459841909","-29.1109793556636","2.6970808241004174","0.5042609811026812"
Biocon Ltd,BIOCON,"Biotechnology","46839.546223469995","391.65","63.2539449337879","0.59208262533602","1.29285732337845","10.043537820938855","5.505612184807699"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","46714.1538825","681.25","36.56055621145475","0.899510945665581","52.9992611867377","12.866597116767307","10.35432397718306"
Godrej Properties Ltd,GODREJPROP,"Real Estate","46364.159697795","1506.9","-244.75616163118346","1.38488992921918","14.6617503981385","-14.209843296401568","5.572956959837082"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","45814.5130992","2682.9","36.59656923922417","0.495135596180485","12.3035242356866","15.529158417561057","7.848754293467553"
Tata Elxsi Ltd,TATAELXSI,"Software Services","45423.5011894","7424.8","123.38648663388925","1.12621521705321","60.9662279089051","19.72957184889037","33.592791780236354"
NMDC Ltd,NMDC,"Mining - Iron Ore","45116.67706075","153.4","7.18803007034815","0.746731875880828","7.61148645272841","39.922503794032075","1.5090405969427636"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","45111.53287245","2290.5","38.310304512369136","0.979214284959804","23.0734340233679","19.772641406466445","7.518814376506295"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","44680.66397849","772.2","-54.11967681111693",,,"-15.15728443385314","12.767217193337029"
Astral Ltd,ASTRAL,"Building Products - Pipes","43885.990534925004","2180.6","108.52124266796484","0.785088715914768","35.2374864115333","12.631973511588686","22.89305713871935"
United Breweries Ltd,UBL,"Alcoholic Beverages","43809.289137809996","1659.55","386.93949070667674","0.821295697860529","-3.80716878610486","2.6037522364856507","12.216654388783699"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","43331.91863254","1343.9","37.014315297553566","1.52170950464978","17.4296415020167","18.287303174206446","6.905242944875238"
Steel Authority of India Ltd,SAIL,"Iron & Steel","43143.336643605","105.1","10.400671300948835","1.93599504834151","20.2806628222334","5.861284363846631","0.9501633728148096"
ACC Ltd,ACC,"Cement","43070.88664168","2274.75","30.115710359311464","0.992510329461514","8.49511393395762","10.207077681786211","3.3907756301918464"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","42588.67804975","424.4","10.61479438954937","1.67289789009392","23.1639302684222","8.024852601686739","1.3766273183750706"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","42301.499175","3514","26.688306251656137","0.514993330700996","16.5891289566889","17.421209863028146","5.596909659420933"
PB Fintech Ltd,POLICYBZR,"Online Services","42095.6568319","941.6","-280.170760944426",,,"-15.693381101095666","21.1351164468756"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","42065.1315","3207.9","181.5813325563329","0.964802885605482","20.7502399642406","6.843823394732554","29.288779922296023"
Cadila Healthcare Ltd,CADILAHC,"Pharmaceuticals","41737.985801999996","409.25","19.562235565241814","0.480616159877519","6.43219549319667","14.09302878581716","2.795653319713857"
Adani Power Ltd,ADANIPOWER,"Power Generation","41500.66300516","108.55","32.678202022992444","1.16296442174999","37.3339528662698","4.511525530663231","3.143765747375565"
Varun Beverages Ltd,VBL,"Soft Drinks","40951.9383756","950.2","59.00430570650532","1.12215745033787","25.9131254251377","7.80606804961332","11.411071245628747"
Lupin Ltd,LUPIN,"Pharmaceuticals","40894.61877","872.2","33.61579144780646","0.588911047312083","3.11506116284438","7.950875064866823","2.9509520973639263"
Indian Overseas Bank,IOB,"Public Banks","40734.69841168","21.05","48.99118237781284","1.16299299408582","21.902098057598","3.6913945006670463","2.4039631256815515"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","40596.162307804996","44677.85","88.24485329059428","0.663895254594871","16.3728657091503","14.713040697209564","15.74184131336787"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","40377.8648222","1234.7","76.88971478500979","0.926633942265671","16.4880299862743","6.780689612428718","8.0282863577926"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","40364.793156975","281.1","3.7855396761079576","0.821583820263667","-0.250335276349516","4.517583380205763","1.0599758817677702"
Container Corporation of India Ltd,CONCOR,"Logistics","40271.30993106","643.2","79.72306673607301","1.05573655412222","-4.72680017110666","7.399670696050126","3.9114992522121055"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","40112.891777950004","682.05","186.4328489400913",,,"13.716340269277833","30.763779260641154"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","39991.40769519","1455.1","38.624487096833064","0.366717112508541","-0.036128220527425","21.253723132378273","34.30206688212134"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","39967.20386274","136.2","-241.88830032524672","1.30132488304615","-1.94549650959846","-0.8241851426199834","4.3774250421935745"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","39301.832198675","662.6","7.3670123562609175","0.741024268956388","-10.8558592087051","18.78136114912285","1.792231753431189"
Trent Ltd,TRENT,"Retail - Apparel","38509.95665013","1057.4","-263.46005781028816","0.874017096494521","27.7143644950285","-5.23051929462959","16.334943775717708"
PI Industries Ltd,PIIND,"Diversified Chemicals","37761.67095534","2552.2","51.14678444445347","0.90567973483257","27.7638281151555","15.687482735907187","7.068297198888141"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","37271.289402895","2497.2","42.25338616569169",,"40.8121871532148","9.731302250768389","7.8091526310496855"
Tata Communications Ltd,TATACOMM,"Telecom Services","37149.75","1311.75","29.704828766301848","1.60246915217288","43.480193688041","7.208869475095513","258.64895913109893"
Dalmia Bharat Ltd,DALBHARAT,"Cement","36334.77443641","1940.2","29.516469891478472",,"8.36126655315359","11.500373692077728","2.8693654297093896"
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","36038.338639525","1002.9","68.84508881029481","1.02710792956228","25.8802446840023","11.61511493742788","10.252319577463485"
